data_code,year,month,day,hour,minute,second,group_number,group_spot_number,projected_umbra,projected_whole_spot,corrected_projected_umbra,corrected_projected_whole_spot,heliographic_latitude,heliographic_longitude,lcm,position_angle,center_distance
s,2001,01,01,09,39,09,9289,42,5,-30,3,-30,-6.78,197.17,-14.82,104.59,0.2637
s,2001,01,01,09,39,09,9289,43,0,1,0,0,-7.91,197.10,-14.85,108.66,0.2692
s,2001,01,01,09,39,09,9289,44,7,-30,4,-30,-6.29,197.03,-14.97,102.66,0.2644
s,2001,01,01,09,39,09,9289,45,6,-30,3,-30,-6.79,196.37,-15.63,103.98,0.2769
s,2001,01,01,09,39,09,9289,46,3,11,2,6,-7.81,196.30,-15.70,107.46,0.2824
s,2001,01,01,09,39,09,9289,47,4,-30,2,-30,-6.74,195.90,-16.10,103.43,0.2844
s,2001,01,01,09,39,09,9289,48,1,-30,0,-30,-6.58,195.80,-16.15,102.85,0.2847
s,2001,01,01,09,39,09,9289,49,4,-30,2,-30,-6.99,195.67,-16.33,104.13,0.2891
s,2001,01,01,09,39,09,9289,50,0,4,0,2,-9.42,193.90,-18.10,110.23,0.3281
s,2001,01,01,09,39,09,9289,51,0,0,0,0,-8.08,193.71,-18.24,106.16,0.3240
s,2001,01,01,09,39,09,9289,52,0,3,0,2,-7.96,193.11,-18.84,105.33,0.3332
s,2001,01,01,09,39,09,9290,1,2,46,1,30,28.17,238.77,26.77,322.30,0.6518
s,2001,01,01,09,39,09,9290,2,2,-1,1,-1,28.10,238.55,26.55,322.45,0.6492
s,2001,01,01,09,39,09,9290,3,2,-1,1,-1,28.19,238.33,26.34,322.76,0.6484
s,2001,01,01,09,39,09,9290,4,1,-1,0,-1,28.04,237.95,25.95,322.98,0.6439
s,2001,01,01,09,39,09,9290,5,0,3,0,2,31.16,233.70,21.67,330.55,0.6449
s,2001,01,01,09,39,09,9290,6,5,27,3,17,31.40,233.05,21.05,331.43,0.6435
s,2001,01,01,09,39,09,9291,1,29,286,14,144,-11.83,214.19,2.19,193.81,0.1572
s,2001,01,01,09,39,09,9291,2,-1,-1,-1,-1,-11.50,213.92,1.93,192.71,0.1507
s,2001,01,01,09,39,09,9291,3,0,2,0,1,-11.36,213.22,1.19,188.06,0.1460
s,2001,01,01,09,39,09,9291,4,0,1,0,0,-11.33,212.97,0.94,186.41,0.1449
s,2001,01,01,09,39,09,9291,5,0,1,0,0,-12.01,211.46,-0.57,176.42,0.1561
s,2001,01,01,09,39,09,9291,6,1,18,1,9,-12.70,210.15,-1.88,169.15,0.1708
s,2001,01,01,09,39,09,9291,7,1,-6,1,-6,-12.57,210.08,-1.92,168.79,0.1687
s,2001,01,01,09,39,09,9291,8,0,1,0,0,-12.63,209.42,-2.62,164.96,0.1725
s,2001,01,01,09,39,09,9291,9,0,2,0,1,-13.51,209.28,-2.72,165.68,0.1876
s,2001,01,01,09,39,09,9291,10,0,3,0,2,-11.35,208.96,-3.04,160.14,0.1535
s,2001,01,01,09,39,09,9291,11,1,13,1,7,-12.38,208.36,-3.64,159.02,0.1739
s,2001,01,01,09,39,09,9291,12,0,1,0,1,-12.08,207.97,-4.06,156.11,0.1718
s,2001,01,01,09,39,09,9291,13,0,6,0,3,-14.03,207.34,-4.69,157.33,0.2068
s,2001,01,01,09,39,09,9291,14,0,4,0,2,-13.40,206.99,-5.04,154.52,0.1995
s,2001,01,01,09,39,09,9292,1,0,1,0,1,26.75,172.41,-39.54,49.44,0.7506
s,2001,01,01,09,39,09,9292,2,0,3,0,2,25.82,168.45,-43.50,52.81,0.7801
s,2001,01,01,09,39,09,9292,3,0,4,0,3,25.44,168.11,-43.84,53.42,0.7811
s,2001,01,01,09,39,09,9293,1,3,13,2,10,12.76,164.14,-47.86,70.52,0.7695
s,2001,01,01,09,39,09,9293,2,3,24,3,18,11.99,164.03,-47.97,71.53,0.7684
s,2001,01,01,09,39,09,9293,3,0,2,0,1,12.93,162.49,-49.54,70.85,0.7873
s,2001,01,01,09,39,09,9293,4,3,22,2,18,12.53,162.15,-49.86,71.44,0.7895
s,2001,01,01,09,39,09,9294,1,4,37,10,84,21.35,136.81,-75.19,67.31,0.9769
s,2001,01,02,12,33,18,9283,1,4,13,5,17,-7.65,265.48,68.24,263.04,0.9290
s,2001,01,02,12,33,18,9283,2,0,2,0,2,-10.93,261.66,64.41,259.42,0.9028
s,2001,01,02,12,33,18,9283,3,1,53,1,58,-12.00,260.72,63.47,258.19,0.8960
s,2001,01,02,12,33,18,9283,4,0,1,0,1,-12.89,260.89,63.66,257.20,0.8977
s,2001,01,02,12,33,18,9283,5,1,-3,1,-3,-11.88,260.56,63.32,258.31,0.8948
s,2001,01,02,12,33,18,9283,6,4,-3,4,-3,-12.34,260.32,63.09,257.78,0.8932
s,2001,01,02,12,33,18,9283,7,0,1,0,1,-13.37,260.46,63.21,256.64,0.8945
s,2001,01,02,12,33,18,9283,8,5,32,5,33,-12.57,258.53,61.30,257.42,0.8791
s,2001,01,02,12,33,18,9285,1,0,1,0,1,5.45,255.31,58.07,278.37,0.8560
s,2001,01,02,12,33,18,9285,2,0,3,0,3,8.72,254.02,56.79,282.39,0.8488
s,2001,01,02,12,33,18,9289,1,194,1490,97,748,-5.59,206.63,9.41,255.48,0.1689
s,2001,01,02,12,33,18,9289,2,1,-1,0,-1,-8.76,205.76,8.54,236.47,0.1768
s,2001,01,02,12,33,18,9289,3,4,-1,2,-1,-6.33,205.67,8.45,249.40,0.1567
s,2001,01,02,12,33,18,9289,4,2,-1,1,-1,-5.99,205.67,8.45,251.51,0.1548
s,2001,01,02,12,33,18,9289,5,1,-1,1,-1,-8.85,205.59,8.37,235.52,0.1753
s,2001,01,02,12,33,18,9289,6,79,-1,39,-1,-8.33,205.57,8.33,237.99,0.1699
s,2001,01,02,12,33,18,9289,7,-6,-1,-6,-1,-7.81,205.04,7.81,239.11,0.1576
s,2001,01,02,12,33,18,9289,8,-6,-1,-6,-1,-7.40,204.98,7.75,241.25,0.1532
s,2001,01,02,12,33,18,9289,9,1,-1,0,-1,-6.25,204.95,7.73,248.21,0.1446
