data_code,year,month,day,hour,minute,second,group_number,group_spot_number,projected_umbra,projected_whole_spot,corrected_projected_umbra,corrected_projected_whole_spot,heliographic_latitude,heliographic_longitude,lcm,position_angle,center_distance
s,2002,01,01,11,14,36,9751,1,0,15,1,42,3.43,152.66,79.08,274.08,0.9835
s,2002,01,01,11,14,36,9751,2,0,5,0,12,4.37,150.97,77.39,275.16,0.9780
s,2002,01,01,11,14,36,9751,3,0,2,0,3,1.74,149.16,75.58,272.58,0.9701
s,2002,01,01,11,14,36,9751,4,1,8,2,17,4.52,149.56,75.98,275.42,0.9726
s,2002,01,01,11,14,36,9751,5,2,73,4,113,2.29,144.59,71.01,273.47,0.9480
s,2002,01,01,11,14,36,9751,6,12,-5,18,-5,2.71,144.53,70.95,273.92,0.9478
s,2002,01,01,11,14,36,9751,7,0,19,0,26,4.29,142.59,69.01,275.75,0.9373
s,2002,01,01,11,14,36,9751,8,0,1,0,2,2.90,140.74,67.16,274.43,0.9248
s,2002,01,01,11,14,36,9751,9,0,10,0,13,3.69,140.55,66.97,275.30,0.9240
s,2002,01,01,11,14,36,9751,10,0,3,0,3,3.44,139.31,65.72,275.14,0.9154
s,2002,01,01,11,14,36,9751,11,6,35,7,41,3.19,137.89,64.31,275.00,0.9050
s,2002,01,01,11,14,36,9753,1,1,13,1,21,-17.05,146.41,72.83,253.09,0.9560
s,2002,01,01,11,14,36,9753,2,0,1,0,1,-17.43,145.12,71.53,252.64,0.9496
s,2002,01,01,11,14,36,9753,3,0,1,0,1,-16.30,141.52,67.94,253.65,0.9287
s,2002,01,01,11,14,36,9753,4,0,2,0,2,-18.35,140.01,66.43,251.32,0.9200
s,2002,01,01,11,14,36,9753,5,0,5,0,6,-18.68,135.75,62.17,250.53,0.8905
s,2002,01,01,11,14,36,9754,1,0,5,0,4,-8.04,127.08,53.49,262.27,0.8055
s,2002,01,01,11,14,36,9754,2,3,16,3,13,-9.27,126.93,53.34,260.72,0.8045
s,2002,01,01,11,14,36,9754,3,7,48,5,39,-6.62,125.70,52.12,263.99,0.7906
s,2002,01,01,11,14,36,9754,4,6,-3,5,-3,-6.78,125.72,52.13,263.79,0.7909
s,2002,01,01,11,14,36,9754,5,1,37,1,29,-6.54,124.61,51.03,264.07,0.7789
s,2002,01,01,11,14,36,9754,6,0,1,0,1,-6.08,124.36,50.77,264.65,0.7760
s,2002,01,01,11,14,36,9754,7,3,-5,2,-5,-6.80,124.18,50.60,263.72,0.7743
s,2002,01,01,11,14,36,9754,8,0,4,0,3,-7.28,123.56,49.97,263.07,0.7675
s,2002,01,01,11,14,36,9754,9,0,10,0,8,-4.69,121.59,48.01,266.44,0.7445
s,2002,01,01,11,14,36,9754,10,0,3,0,3,-6.22,120.96,47.37,264.36,0.7374
s,2002,01,01,11,14,36,9754,11,0,4,0,3,-5.55,120.86,47.27,265.28,0.7360
s,2002,01,01,11,14,36,9754,12,3,8,2,6,-7.84,120.49,46.91,262.13,0.7327
s,2002,01,01,11,14,36,9754,13,13,40,10,29,-5.73,119.92,46.34,265.00,0.7249
s,2002,01,01,11,14,36,9754,14,0,6,0,5,-6.12,119.20,45.62,264.43,0.7164
s,2002,01,01,11,14,36,9754,15,0,7,0,5,-6.15,117.49,43.90,264.31,0.6952
s,2002,01,01,11,14,36,9754,16,0,1,0,1,-5.84,117.16,43.58,264.74,0.6910
s,2002,01,01,11,14,36,9754,17,0,4,0,3,-6.28,117.11,43.53,264.11,0.6906
s,2002,01,01,11,14,36,9754,18,0,3,0,2,-8.00,115.02,41.44,261.39,0.6653
s,2002,01,01,11,14,36,9755,1,37,239,20,131,-4.06,97.76,24.21,266.91,0.4114
s,2002,01,01,11,14,36,9755,2,2,33,1,18,-1.59,97.65,24.10,272.97,0.4104
s,2002,01,01,11,14,36,9755,3,0,13,0,7,-2.45,96.94,23.37,270.93,0.3981
s,2002,01,01,11,14,36,9755,4,0,8,0,4,-2.91,96.73,23.16,269.76,0.3946
s,2002,01,01,11,14,36,9755,5,0,1,0,1,-4.20,96.38,22.80,266.44,0.3889
s,2002,01,01,11,14,36,9755,6,0,2,0,1,-4.72,95.42,21.86,264.97,0.3741
s,2002,01,01,11,14,36,9755,7,1,28,1,15,-6.00,95.07,21.51,261.43,0.3705
s,2002,01,01,11,14,36,9755,8,0,4,0,2,-6.31,94.73,21.15,260.48,0.3653
s,2002,01,01,11,14,36,9756,1,0,1,0,1,-27.39,71.02,-2.51,174.60,0.4155
s,2002,01,01,11,14,36,9756,2,0,11,0,6,-27.82,70.75,-2.80,174.12,0.4227
s,2002,01,01,11,14,36,9756,3,0,2,0,1,-29.04,69.74,-3.80,172.46,0.4438
s,2002,01,01,11,14,36,9756,4,0,1,0,0,-28.70,66.16,-7.37,165.44,0.4493
s,2002,01,01,11,14,36,9756,5,0,2,0,1,-33.36,65.61,-7.92,167.15,0.5199
s,2002,01,01,11,14,36,9756,6,0,3,0,2,-31.30,65.27,-8.27,165.45,0.4913
s,2002,01,01,11,14,36,9756,7,0,2,0,1,-30.50,65.37,-8.16,165.15,0.4791
s,2002,01,01,11,14,36,9761,1,0,5,0,3,12.91,72.82,-0.71,2.50,0.2767
s,2002,01,01,11,14,36,9761,2,13,143,6,73,10.18,72.36,-1.18,5.07,0.2312
s,2002,01,01,11,14,36,9761,3,8,-2,4,-2,9.89,72.37,-1.18,5.17,0.2261
s,2002,01,01,11,14,36,9761,4,0,1,0,1,13.18,72.02,-1.51,5.24,0.2823
s,2002,01,01,11,14,36,9761,5,0,1,0,0,12.16,71.70,-1.83,6.76,0.2657
s,2002,01,01,11,14,36,9761,6,0,2,0,1,13.60,67.73,-5.80,18.93,0.3042
s,2002,01,01,11,14,36,9761,7,0,2,0,1,15.86,67.64,-5.89,16.94,0.3404
s,2002,01,01,11,14,36,9761,8,0,3,0,2,13.02,67.15,-6.38,21.37,0.2985
s,2002,01,01,11,14,36,9761,9,0,3,0,2,12.12,66.78,-6.75,23.72,0.2870
s,2002,01,01,11,14,36,9763,1,21,155,11,80,5.97,60.43,-13.13,55.43,0.2757
s,2002,01,01,11,14,36,9763,2,0,4,0,2,5.85,58.30,-15.23,59.63,0.3042
s,2002,01,01,11,14,36,9763,3,0,1,0,0,5.96,57.24,-16.29,60.97,0.3206
s,2002,01,01,11,14,36,9763,4,0,1,0,1,5.80,56.53,-17.00,62.43,0.3297
s,2002,01,01,11,14,36,9763,5,0,4,0,2,6.42,55.13,-18.40,62.69,0.3547
s,2002,01,01,11,14,36,9764,1,5,285,3,180,12.72,107.74,34.20,295.62,0.6103
s,2002,01,01,11,14,36,9764,2,41,-1,26,-1,13.12,107.20,33.64,296.59,0.6056
s,2002,01,01,11,14,36,9764,3,3,-1,2,-1,13.44,106.61,33.06,297.47,0.6002
s,2002,01,01,11,14,36,9764,4,2,-1,2,-1,13.58,105.94,32.39,298.13,0.5927
s,2002,01,01,11,14,36,9764,5,1,-1,1,-1,13.02,105.52,31.96,297.56,0.5840
s,2002,01,01,11,14,36,9764,6,0,1,0,1,13.67,105.05,31.50,298.91,0.5822
s,2002,01,01,11,14,36,9764,7,0,2,0,1,12.61,104.81,31.28,297.41,0.5729
s,2002,01,01,11,14,36,9764,8,0,1,0,0,13.53,104.95,31.42,298.75,0.5803
s,2002,01,01,11,14,36,9764,9,0,0,0,0,13.30,104.79,31.23,298.53,0.5765
s,2002,01,01,11,14,36,9764,10,3,235,2,141,14.35,103.01,29.48,301.53,0.5616
s,2002,01,01,11,14,36,9764,11,11,-10,7,-10,14.40,102.78,29.22,301.83,0.5588
s,2002,01,01,11,14,36,9764,12,2,-10,1,-10,14.50,102.03,28.51,302.60,0.5506
s,2002,01,01,11,14,36,9764,13,1,-10,1,-10,14.22,101.97,28.44,302.22,0.5479
s,2002,01,01,11,14,36,9764,14,2,11,1,7,15.91,102.14,28.59,304.73,0.5621
s,2002,01,01,11,14,36,9764,15,1,-10,1,-10,15.02,101.70,28.17,303.72,0.5505
s,2002,01,01,11,14,36,9764,16,15,-10,9,-10,14.34,101.36,27.80,302.97,0.5408
s,2002,01,01,11,14,36,9764,17,1,52,1,31,15.85,101.13,27.57,305.56,0.5495
s,2002,01,01,11,14,36,9764,18,12,-17,7,-17,15.33,100.74,27.18,305.12,0.5407
s,2002,01,01,11,14,36,9764n,1,0,2,0,1,4.53,97.19,23.66,287.70,0.4217
s,2002,01,01,11,14,36,9764n,2,0,3,0,2,6.36,96.31,22.78,292.54,0.4184
s,2002,01,01,11,14,36,9764n,3,0,2,0,1,4.66,95.74,22.21,289.11,0.4005
s,2002,01,01,11,14,36,9764n,4,0,1,0,1,6.59,94.83,21.30,294.45,0.3981
s,2002,01,01,11,14,36,9765,1,0,1,0,1,6.09,46.69,-26.84,71.14,0.4765
s,2002,01,01,11,14,36,9765,2,35,202,21,116,5.13,45.05,-28.51,74.01,0.4965
s,2002,01,01,11,14,36,9765,3,0,3,0,2,7.51,44.20,-29.35,70.01,0.5192
s,2002,01,01,11,14,36,9765,4,0,2,0,1,6.66,43.60,-29.95,71.92,0.5237
s,2002,01,01,11,14,36,9765,5,0,8,0,5,5.69,43.57,-29.96,73.72,0.5198
s,2002,01,01,11,14,36,9765,6,0,2,0,1,6.61,43.37,-30.18,72.15,0.5268
s,2002,01,01,11,14,36,9765,7,11,96,7,56,5.54,42.84,-30.72,74.38,0.5301
s,2002,01,01,11,14,36,9765,8,1,-7,1,-7,5.23,42.74,-30.82,74.99,0.5304
s,2002,01,01,11,14,36,9765,9,1,5,0,3,4.40,42.45,-31.11,76.65,0.5317
s,2002,01,01,11,14,36,9765,10,0,2,0,2,3.46,41.55,-31.98,78.71,0.5412
s,2002,01,01,11,14,36,9765,11,0,2,0,1,7.11,41.40,-32.13,72.29,0.5562
s,2002,01,01,11,14,36,9765,12,0,1,0,1,3.65,40.69,-32.84,78.67,0.5541
s,2002,01,01,11,14,36,9765,13,0,2,0,1,8.32,39.47,-34.06,71.23,0.5875
s,2002,01,01,11,14,36,9765,14,0,1,0,1,4.52,35.47,-38.06,78.89,0.6286
s,2002,01,01,11,14,36,9765,15,0,3,0,2,5.76,34.96,-38.57,77.12,0.6386
s,2002,01,01,11,14,36,9765,16,0,2,0,1,6.05,34.20,-39.33,76.92,0.6493
s,2002,01,01,11,14,36,9765,17,3,15,2,10,3.37,32.73,-40.80,81.37,0.6622
s,2002,01,01,11,14,36,9765,18,0,1,0,1,5.94,30.48,-43.04,78.17,0.6960
s,2002,01,01,11,14,36,9765a,1,0,1,0,0,-7.82,44.81,-28.72,100.63,0.4863
s,2002,01,01,11,14,36,9765a,2,0,1,0,1,-7.79,43.33,-30.20,100.18,0.5084
s,2002,01,01,11,14,36,9765a,3,0,2,0,1,-5.71,43.32,-30.21,96.07,0.5056
s,2002,01,01,11,14,36,9765a,4,0,1,0,1,-12.16,42.34,-31.19,108.11,0.5347
s,2002,01,01,11,14,36,9765a,5,0,2,0,1,-10.76,42.22,-31.31,105.50,0.5320
s,2002,01,01,11,14,36,9765a,6,0,3,0,2,-14.20,41.51,-32.01,111.36,0.5540
s,2002,01,01,11,14,36,9765a,7,0,2,0,1,-8.40,42.02,-31.51,101.03,0.5289
s,2002,01,01,11,14,36,9765a,8,0,1,0,1,-10.52,39.76,-33.76,104.24,0.5660
s,2002,01,01,11,14,36,9767,1,0,2,0,1,-20.63,35.11,-38.42,118.25,0.6626
s,2002,01,01,11,14,36,9767,2,0,2,0,1,-22.89,29.43,-44.10,118.84,0.7342
s,2002,01,01,11,14,36,9767,3,0,2,0,2,-23.81,26.61,-46.92,118.95,0.7661
s,2002,01,01,11,14,36,9767,4,0,2,0,1,-22.88,24.02,-49.51,116.95,0.7884
s,2002,01,01,11,14,36,9767,5,0,1,0,1,-22.42,22.70,-50.83,116.01,0.7997
s,2002,01,01,11,14,36,9767,6,1,547,1,455,-19.11,24.01,-49.53,112.25,0.7790
s,2002,01,01,11,14,36,9767,7,3,-6,3,-6,-19.33,23.36,-50.18,112.36,0.7860
s,2002,01,01,11,14,36,9767,8,0,4,0,4,-24.74,19.74,-53.80,117.97,0.8320
s,2002,01,01,11,14,36,9767,9,47,-6,39,-6,-19.58,21.85,-51.71,112.31,0.8016
s,2002,01,01,11,14,36,9767,10,-9,-6,-9,-6,-20.14,21.50,-52.04,112.91,0.8059
s,2002,01,01,11,14,36,9767,11,2,-6,2,-6,-19.00,21.71,-51.85,111.57,0.8018
s,2002,01,01,11,14,36,9767,12,3,14,3,12,-21.18,19.44,-54.11,113.69,0.8271
s,2002,01,01,11,14,36,9767,13,8,253,9,266,-27.52,14.59,-58.97,119.90,0.8786
s,2002,01,01,11,14,36,9767,14,0,7,0,6,-17.85,20.55,-52.98,109.92,0.8106
s,2002,01,01,11,14,36,9767,15,0,2,0,1,-20.68,19.01,-54.52,113.02,0.8299
s,2002,01,01,11,14,36,9767,16,2,-13,2,-13,-26.17,14.96,-58.56,118.48,0.8732
