data_code,year,month,day,hour,minute,second,group_number,group_spot_number,projected_umbra,projected_whole_spot,corrected_projected_umbra,corrected_projected_whole_spot,heliographic_latitude,heliographic_longitude,lcm,position_angle,center_distance
s,2000,01,01,10,35,48,8809,1,0,2,0,1,24.25,35.21,33.06,312.15,0.6732
s,2000,01,01,10,35,48,8809,2,0,3,0,2,23.64,31.85,29.70,314.26,0.6359
s,2000,01,01,10,35,48,8810,1,1,5,0,3,33.94,22.08,19.90,334.75,0.6641
s,2000,01,01,10,35,48,8810,2,3,25,2,16,33.87,19.97,17.75,337.05,0.6517
s,2000,01,01,10,35,48,8810,3,23,146,15,98,36.16,19.32,17.10,339.34,0.6754
s,2000,01,01,10,35,48,8810,4,-3,-3,-3,-3,36.13,18.88,16.67,339.79,0.6730
s,2000,01,01,10,35,48,8810,5,-3,-3,-3,-3,36.07,18.57,16.41,340.03,0.6711
s,2000,01,01,10,35,48,8810,6,1,27,1,18,37.30,15.67,13.46,344.00,0.6741
s,2000,01,01,10,35,48,8810,7,0,3,0,2,37.26,14.63,12.47,345.09,0.6703
s,2000,01,01,10,35,48,8810,8,0,2,0,1,36.86,10.66,8.50,349.54,0.6537
s,2000,01,01,10,35,48,8810,9,7,52,4,34,37.72,9.12,6.90,351.70,0.6614
s,2000,01,01,10,35,48,8810,10,0,1,0,0,35.80,8.20,6.04,352.24,0.6345
s,2000,01,01,10,35,48,8810,11,1,11,1,8,39.59,8.34,6.13,353.07,0.6840
s,2000,01,01,10,35,48,8810,12,45,391,30,256,37.63,6.65,4.44,354.63,0.6564
s,2000,01,01,10,35,48,8810,13,0,2,0,1,35.43,5.97,3.81,355.02,0.6263
s,2000,01,01,10,35,48,8810,14,-12,-12,-12,-12,37.57,5.97,3.78,355.40,0.6548
s,2000,01,01,10,35,48,8810,15,0,3,0,2,36.53,5.28,3.12,356.06,0.6403
s,2000,01,01,10,35,48,8813,1,19,124,11,70,-16.59,336.89,-25.32,120.31,0.4768
s,2000,01,01,10,35,48,8813,2,0,-1,0,-1,-16.36,335.66,-26.58,118.82,0.4921
s,2000,01,01,10,35,48,8813,3,0,-1,0,-1,-15.98,335.65,-26.56,118.14,0.4894
s,2000,01,01,10,35,48,8813,4,0,1,0,1,-13.73,334.66,-27.59,113.09,0.4912
s,2000,01,01,10,35,48,8813,5,0,2,0,1,-16.93,333.38,-28.83,118.16,0.5254
s,2000,01,01,10,35,48,8813,6,0,3,0,2,-15.48,332.45,-29.80,114.94,0.5303
s,2000,01,01,10,35,48,8813,7,0,2,0,1,-16.51,331.76,-30.49,116.30,0.5448
s,2000,01,01,10,35,48,8813,8,0,1,0,1,-17.20,330.83,-31.42,116.89,0.5606
s,2000,01,01,10,35,48,8813,9,0,10,0,6,-16.48,330.71,-31.54,115.61,0.5584
s,2000,01,01,10,35,48,8813,10,0,2,0,1,-16.92,330.46,-31.79,116.19,0.5639
s,2000,01,01,10,35,48,8814,1,26,335,18,225,10.49,321.94,-40.30,70.82,0.6757
s,2000,01,01,10,35,48,8814,2,17,-1,12,-1,10.10,321.24,-41.00,71.66,0.6828
s,2000,01,01,10,35,48,8814,3,0,1,0,1,11.87,319.88,-42.37,69.75,0.7053
s,2000,01,01,10,35,48,8814,4,0,9,0,6,8.97,319.89,-42.33,73.74,0.6953
s,2000,01,01,10,35,48,8814,5,0,3,0,2,9.00,318.81,-43.44,74.07,0.7087
s,2000,01,01,10,35,48,8814,6,2,33,1,28,9.74,310.10,-52.15,75.54,0.8060
s,2000,01,01,10,35,48,8814,7,0,16,0,14,9.17,307.04,-55.21,76.89,0.8346
s,2000,01,01,10,35,48,8814,8,0,1,0,1,10.18,306.53,-55.72,75.81,0.8410
s,2000,01,01,10,35,48,8814,9,1,5,1,5,9.41,306.47,-55.78,76.73,0.8403
s,2000,01,01,10,35,48,8814,10,0,4,0,4,9.93,304.99,-57.26,76.42,0.8545
s,2000,01,01,10,35,48,8814,11,1,12,1,12,9.53,304.70,-57.55,76.93,0.8564
s,2000,01,01,10,35,48,8814,12,5,43,5,42,10.48,303.51,-58.74,76.07,0.8681
s,2000,01,01,10,35,48,8816n,1,0,2,0,1,12.41,358.89,-3.26,11.82,0.2727
s,2000,01,01,10,35,48,8816n,2,0,2,0,1,11.19,358.77,-3.39,13.30,0.2531
s,2000,01,01,10,35,48,8816n,3,0,1,0,0,17.33,353.68,-8.47,22.07,0.3760
s,2000,01,01,10,35,48,8816n,4,0,2,0,1,27.76,344.07,-18.09,28.35,0.5809
s,2000,01,02,09,35,32,8810,1,0,7,0,5,33.83,22.43,32.60,323.02,0.7463
s,2000,01,02,09,35,32,8810,2,0,7,0,5,34.08,19.78,29.95,325.38,0.7301
s,2000,01,02,09,35,32,8810,3,12,125,8,91,36.08,18.42,28.59,328.33,0.7390
s,2000,01,02,09,35,32,8810,4,11,-3,8,-3,35.87,17.85,28.02,328.62,0.7336
s,2000,01,02,09,35,32,8810,5,0,6,0,4,37.14,15.45,25.62,331.78,0.7313
s,2000,01,02,09,35,32,8810,6,0,9,0,6,33.16,13.89,24.06,329.87,0.6823
s,2000,01,02,09,35,32,8810,7,0,4,0,3,38.07,14.29,24.46,333.54,0.7340
s,2000,01,02,09,35,32,8810,8,0,4,0,3,35.52,9.69,19.86,336.04,0.6832
s,2000,01,02,09,35,32,8810,9,0,3,0,2,40.73,10.37,20.54,338.94,0.7422
s,2000,01,02,09,35,32,8810,10,4,12,3,8,37.40,9.33,19.50,337.73,0.7021
s,2000,01,02,09,35,32,8810,11,0,3,0,2,39.31,7.62,17.79,340.64,0.7157
s,2000,01,02,09,35,32,8810,12,10,326,7,222,37.20,6.49,16.66,340.52,0.6871
s,2000,01,02,09,35,32,8810,13,25,-12,17,-12,37.44,6.15,16.32,341.03,0.6885
s,2000,01,02,09,35,32,8810,14,0,9,0,6,35.79,5.50,15.66,340.74,0.6663
s,2000,01,02,09,35,32,8810,15,11,-12,8,-12,37.48,5.55,15.72,341.68,0.6866
s,2000,01,02,09,35,32,8810,16,0,2,0,2,35.39,5.07,15.24,340.97,0.6597
s,2000,01,02,09,35,32,8810,17,0,5,0,3,40.12,2.96,13.13,345.76,0.7084
s,2000,01,02,09,35,32,8813,1,23,197,12,102,-15.88,337.78,-12.05,137.84,0.3005
s,2000,01,02,09,35,32,8813,2,11,-1,6,-1,-16.07,337.20,-12.63,136.96,0.3093
s,2000,01,02,09,35,32,8813,3,0,6,0,3,-16.03,336.55,-13.28,135.46,0.3162
s,2000,01,02,09,35,32,8813,4,0,6,0,3,-16.49,336.15,-13.68,135.70,0.3262
s,2000,01,02,09,35,32,8813,5,0,6,0,3,-16.41,335.66,-14.17,134.54,0.3309
s,2000,01,02,09,35,32,8813,6,0,5,0,3,-15.49,334.37,-15.46,130.03,0.3369
s,2000,01,02,09,35,32,8813,7,10,27,5,14,-16.06,332.92,-16.91,128.92,0.3609
s,2000,01,02,09,35,32,8813,8,0,4,0,2,-16.55,331.66,-18.17,128.11,0.3815
s,2000,01,02,09,35,32,8813,9,0,11,0,6,-16.53,330.87,-18.97,126.96,0.3916
s,2000,01,02,09,35,32,8814,1,28,373,16,215,10.67,322.33,-27.50,62.86,0.5121
s,2000,01,02,09,35,32,8814,2,24,-1,14,-1,10.30,321.53,-28.30,64.15,0.5205
s,2000,01,02,09,35,32,8814,3,0,4,0,2,8.20,319.50,-30.33,69.26,0.5367
s,2000,01,02,09,35,32,8814,4,0,3,0,2,10.91,317.81,-32.02,65.73,0.5733
s,2000,01,02,09,35,32,8814,5,0,18,0,11,9.83,311.26,-38.57,70.90,0.6524
s,2000,01,02,09,35,32,8814,6,0,2,0,1,9.55,310.45,-39.38,71.66,0.6615
s,2000,01,02,09,35,32,8814,7,7,18,5,12,9.92,309.84,-39.99,71.37,0.6704
s,2000,01,02,09,35,32,8814,8,0,3,0,2,10.40,309.51,-40.32,70.81,0.6762
s,2000,01,02,09,35,32,8814,9,0,7,0,5,8.93,308.08,-41.75,73.45,0.6886
s,2000,01,02,09,35,32,8814,10,0,6,0,4,8.79,307.69,-42.14,73.79,0.6930
s,2000,01,02,09,35,32,8814,11,0,3,0,2,10.77,307.16,-42.67,71.24,0.7056
s,2000,01,02,09,35,32,8814,12,10,28,7,20,9.44,307.06,-42.77,73.10,0.7024
s,2000,01,02,09,35,32,8814,13,0,6,0,4,10.12,306.74,-43.09,72.29,0.7084
s,2000,01,02,09,35,32,8814,14,0,7,0,5,9.70,306.49,-43.34,72.95,0.7100
s,2000,01,02,09,35,32,8814,15,2,16,1,12,10.65,305.24,-44.59,72.10,0.7274
s,2000,01,02,09,35,32,8814,16,0,4,0,3,9.58,305.43,-44.40,73.47,0.7221
s,2000,01,02,09,35,32,8814,17,5,97,4,71,10.00,304.70,-45.13,73.14,0.7317
s,2000,01,02,09,35,32,8814,18,8,-17,6,-17,10.93,304.08,-45.75,72.12,0.7414
s,2000,01,02,09,35,32,8814,19,8,-17,6,-17,10.22,304.21,-45.62,73.01,0.7378
s,2000,01,02,09,35,32,8814,20,0,2,0,2,10.95,303.45,-46.38,72.30,0.7484
s,2000,01,02,09,35,32,8814,21,0,3,0,3,9.69,303.64,-46.19,73.89,0.7428
s,2000,01,02,09,35,32,8814,22,0,9,0,7,10.17,303.49,-46.34,73.31,0.7458
s,2000,01,02,09,35,32,8814,23,0,1,0,0,9.49,302.88,-46.95,74.38,0.7508
s,2000,01,02,09,35,32,8816,1,0,5,0,3,17.32,335.71,-14.12,33.78,0.4206
s,2000,01,02,09,35,32,8816,2,0,5,0,3,25.39,333.08,-16.75,28.69,0.5444
s,2000,01,02,09,35,32,8816n,1,0,8,0,4,17.56,355.01,5.18,346.31,0.3653
s,2000,01,02,09,35,32,8816n,2,0,5,0,3,17.48,354.36,4.53,347.91,0.3616
s,2000,01,02,09,35,32,8816n,3,0,6,0,3,20.61,350.36,0.53,358.76,0.4046
s,2000,01,03,10,32,16,8810,1,10,92,9,79,36.18,16.72,40.82,319.78,0.8193
s,2000,01,03,10,32,16,8810,2,0,1,0,1,38.68,7.10,31.20,328.57,0.7778
s,2000,01,03,10,32,16,8810,3,51,264,38,198,37.44,4.76,28.87,329.32,0.7537
s,2000,01,03,10,32,16,8810,4,-3,-3,-3,-3,37.55,4.12,28.22,329.94,0.7509
s,2000,01,03,10,32,16,8813,1,0,1,0,1,-15.75,339.37,3.46,194.99,0.2255
s,2000,01,03,10,32,16,8813,2,3,23,2,12,-14.33,339.30,3.39,196.59,0.2018
s,2000,01,03,10,32,16,8813,3,0,1,0,0,-16.98,338.67,2.74,190.90,0.2431
s,2000,01,03,10,32,16,8813,4,43,283,22,143,-15.32,338.05,2.14,189.76,0.2134
s,2000,01,03,10,32,16,8813,5,0,1,0,1,-16.63,337.66,1.75,187.20,0.2346
s,2000,01,03,10,32,16,8813,6,1,-4,0,-4,-15.60,337.63,1.70,187.58,0.2171
s,2000,01,03,10,32,16,8813,7,1,10,1,5,-15.31,336.74,0.83,183.84,0.2106
s,2000,01,03,10,32,16,8813,8,0,0,0,0,-15.69,336.72,0.79,183.51,0.2171
s,2000,01,03,10,32,16,8813,9,0,7,0,3,-16.07,335.84,-0.07,179.70,0.2232
s,2000,01,03,10,32,16,8813,10,0,5,0,2,-16.70,335.26,-0.64,177.35,0.2341
s,2000,01,03,10,32,16,8813,11,0,1,0,1,-15.87,335.26,-0.67,177.08,0.2200
s,2000,01,03,10,32,16,8813,12,0,1,0,0,-15.12,332.74,-3.17,165.48,0.2138
s,2000,01,03,10,32,16,8813,13,1,68,1,35,-16.60,332.71,-3.22,166.91,0.2385
s,2000,01,03,10,32,16,8813,14,0,2,0,1,-16.08,332.55,-3.38,165.69,0.2305
s,2000,01,03,10,32,16,8813,15,0,2,0,1,-15.73,332.40,-3.53,164.69,0.2253
s,2000,01,03,10,32,16,8813,16,12,-13,6,-13,-16.77,332.32,-3.59,165.65,0.2428
s,2000,01,03,10,32,16,8813,17,0,3,0,1,-16.27,332.30,-3.63,164.92,0.2348
s,2000,01,03,10,32,16,8813,18,0,1,0,1,-15.86,332.06,-3.86,163.49,0.2291
s,2000,01,03,10,32,16,8813,19,0,1,0,0,-16.06,331.89,-4.04,163.05,0.2331
s,2000,01,03,10,32,16,8813,20,0,1,0,0,-17.62,331.69,-4.22,164.26,0.2594
s,2000,01,03,10,32,16,8813,21,0,5,0,3,-15.06,331.86,-4.06,161.53,0.2171
s,2000,01,03,10,32,16,8813,22,0,1,0,1,-16.54,331.70,-4.21,163.01,0.2418
s,2000,01,03,10,32,16,8813,23,0,2,0,1,-16.29,331.78,-4.15,162.93,0.2375
s,2000,01,03,10,32,16,8813,24,0,2,0,1,-17.00,331.30,-4.61,162.11,0.2513
s,2000,01,03,10,32,16,8813,25,0,2,0,1,-17.36,330.83,-5.07,160.94,0.2596
s,2000,01,03,10,32,16,8813,26,0,2,0,1,-16.96,330.53,-5.40,159.24,0.2551
s,2000,01,03,10,32,16,8814,1,36,358,19,188,10.57,322.56,-13.35,43.75,0.3298
s,2000,01,03,10,32,16,8814,2,23,-1,12,-1,10.23,321.68,-14.24,46.32,0.3362
s,2000,01,03,10,32,16,8814,3,-2,-1,-2,-1,10.23,321.45,-14.46,46.74,0.3389
